answer,description,object,options,raw,type,formatted_options,transformed_sent
Bearskin,Какое предложение верно?,Bearskin,"['Cloaks', 'Bearskin', 'Fleece']",Bearskin,select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r0-0"" name=""rname0"" 
                                     onchange='myFunction(""Bearskin"", ""r0-0"", ""p0"")'
                                     value=""Cloaks"">
                                   <label class=""form-check-label"" for=""r0-0"">Cloaks
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r0-1"" name=""rname0"" 
                                     onchange='myFunction(""Bearskin"", ""r0-1"", ""p0"")'
                                     value=""Bearskin"">
                                   <label class=""form-check-label"" for=""r0-1"">Bearskin
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r0-2"" name=""rname0"" 
                                     onchange='myFunction(""Bearskin"", ""r0-2"", ""p0"")'
                                     value=""Fleece"">
                                   <label class=""form-check-label"" for=""r0-2"">Fleece
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r0-0"" name=""rname0"" 
                                     onchange='myFunction(""Bearskin"", ""r0-0"", ""p0"")'
                                     value=""Cloaks"">
                                   <label class=""form-check-label"" for=""r0-0"">Cloaks
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r0-1"" name=""rname0"" 
                                     onchange='myFunction(""Bearskin"", ""r0-1"", ""p0"")'
                                     value=""Bearskin"">
                                   <label class=""form-check-label"" for=""r0-1"">Bearskin
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r0-2"" name=""rname0"" 
                                     onchange='myFunction(""Bearskin"", ""r0-2"", ""p0"")'
                                     value=""Fleece"">
                                   <label class=""form-check-label"" for=""r0-2"">Fleece
                                   </label></div>"
 , , , ,Jacob and Wilhelm Grimm, , ,Jacob and Wilhelm Grimm
object of preposition,Чем является выделенная фраза?,the very front,"['nominal subject', 'direct object', 'object of preposition', 'attribute']","Once upon a time there was a young fellow who enlisted as a soldier, conducted himself bravely, and was always at the very front when it was raining bullets.",noun_phrases,"<strong>the very front</strong> <select class=""form-select"" id=""s2"" onchange=""myFunction('object of preposition', 's2', 'p2')""><option selected>–––</option><option value=""nominal subject"">nominal subject</option><option value=""direct object"">direct object</option><option value=""object of preposition"">object of preposition</option><option value=""attribute"">attribute</option></select>","Once upon a time there was a young fellow who enlisted as a soldier, conducted himself bravely, and was always at <strong>the very front</strong> <select class=""form-select"" id=""s2"" onchange=""myFunction('object of preposition', 's2', 'p2')""><option selected>–––</option><option value=""nominal subject"">nominal subject</option><option value=""direct object"">direct object</option><option value=""object of preposition"">object of preposition</option><option value=""attribute"">attribute</option></select> when it was raining bullets."
"As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to.",Какое предложение верно?,"As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to.","['Most short as the wars occurred all took and, but when ceasefire was as he was dismissing, and the england told he could get wherever he did to.', 'Being end as the wars ensued all off often, but when crisis was came he was accusations, and the caught told he could going wherever he knew to.', 'As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to.']","As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r3-0"" name=""rname3"" 
                                     onchange='myFunction(""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."", ""r3-0"", ""p3"")'
                                     value=""Most short as the wars occurred all took and, but when ceasefire was as he was dismissing, and the england told he could get wherever he did to."">
                                   <label class=""form-check-label"" for=""r3-0"">Most short as the wars occurred all took and, but when ceasefire was as he was dismissing, and the england told he could get wherever he did to.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r3-1"" name=""rname3"" 
                                     onchange='myFunction(""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."", ""r3-1"", ""p3"")'
                                     value=""Being end as the wars ensued all off often, but when crisis was came he was accusations, and the caught told he could going wherever he knew to."">
                                   <label class=""form-check-label"" for=""r3-1"">Being end as the wars ensued all off often, but when crisis was came he was accusations, and the caught told he could going wherever he knew to.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r3-2"" name=""rname3"" 
                                     onchange='myFunction(""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."", ""r3-2"", ""p3"")'
                                     value=""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."">
                                   <label class=""form-check-label"" for=""r3-2"">As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r3-0"" name=""rname3"" 
                                     onchange='myFunction(""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."", ""r3-0"", ""p3"")'
                                     value=""Most short as the wars occurred all took and, but when ceasefire was as he was dismissing, and the england told he could get wherever he did to."">
                                   <label class=""form-check-label"" for=""r3-0"">Most short as the wars occurred all took and, but when ceasefire was as he was dismissing, and the england told he could get wherever he did to.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r3-1"" name=""rname3"" 
                                     onchange='myFunction(""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."", ""r3-1"", ""p3"")'
                                     value=""Being end as the wars ensued all off often, but when crisis was came he was accusations, and the caught told he could going wherever he knew to."">
                                   <label class=""form-check-label"" for=""r3-1"">Being end as the wars ensued all off often, but when crisis was came he was accusations, and the caught told he could going wherever he knew to.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r3-2"" name=""rname3"" 
                                     onchange='myFunction(""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."", ""r3-2"", ""p3"")'
                                     value=""As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to."">
                                   <label class=""form-check-label"" for=""r3-2"">As long as the war lasted all went well, but when peace was made he was dismissed, and the captain said he could go wherever he wanted to.
                                   </label></div>"
"His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war.",Какое предложение верно?,"His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war.","['His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war.', 'His mothers were victims, and he caused any avoid a from, even he left to his cousins and refused them to backing him until there being aanyther invasion.', 'His mother were missing, and he been any not a took, too he took to his brother and saying them to supports him until there been aanyther conflict.']","His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r4-0"" name=""rname4"" 
                                     onchange='myFunction(""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."", ""r4-0"", ""p4"")'
                                     value=""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."">
                                   <label class=""form-check-label"" for=""r4-0"">His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r4-1"" name=""rname4"" 
                                     onchange='myFunction(""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."", ""r4-1"", ""p4"")'
                                     value=""His mothers were victims, and he caused any avoid a from, even he left to his cousins and refused them to backing him until there being aanyther invasion."">
                                   <label class=""form-check-label"" for=""r4-1"">His mothers were victims, and he caused any avoid a from, even he left to his cousins and refused them to backing him until there being aanyther invasion.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r4-2"" name=""rname4"" 
                                     onchange='myFunction(""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."", ""r4-2"", ""p4"")'
                                     value=""His mother were missing, and he been any not a took, too he took to his brother and saying them to supports him until there been aanyther conflict."">
                                   <label class=""form-check-label"" for=""r4-2"">His mother were missing, and he been any not a took, too he took to his brother and saying them to supports him until there been aanyther conflict.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r4-0"" name=""rname4"" 
                                     onchange='myFunction(""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."", ""r4-0"", ""p4"")'
                                     value=""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."">
                                   <label class=""form-check-label"" for=""r4-0"">His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r4-1"" name=""rname4"" 
                                     onchange='myFunction(""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."", ""r4-1"", ""p4"")'
                                     value=""His mothers were victims, and he caused any avoid a from, even he left to his cousins and refused them to backing him until there being aanyther invasion."">
                                   <label class=""form-check-label"" for=""r4-1"">His mothers were victims, and he caused any avoid a from, even he left to his cousins and refused them to backing him until there being aanyther invasion.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r4-2"" name=""rname4"" 
                                     onchange='myFunction(""His parents were dead, and he had no longer a home, so he went to his brothers and asked them to support him until there was another war."", ""r4-2"", ""p4"")'
                                     value=""His mother were missing, and he been any not a took, too he took to his brother and saying them to supports him until there been aanyther conflict."">
                                   <label class=""form-check-label"" for=""r4-2"">His mother were missing, and he been any not a took, too he took to his brother and saying them to supports him until there been aanyther conflict.
                                   </label></div>"
hardhearted,Заполните пропуск,hardhearted,[],"The brothers, however, were hardhearted and said, ""What can we do with you?",missing_word,"<input class=""form-control"" type=""text"" id=""t5"" onchange=""myFunction('hardhearted', 't5', 'p5')"">","The brothers, however, were <input class=""form-control"" type=""text"" id=""t5"" onchange=""myFunction('hardhearted', 't5', 'p5')""> and said, ""What can we do with you?"
have,Заполните пропуск,have,[],We have no work for you.,missing_word,"<input class=""form-control"" type=""text"" id=""t6"" onchange=""myFunction('have', 't6', 'p6')"">","We <input class=""form-control"" type=""text"" id=""t6"" onchange=""myFunction('have', 't6', 'p6')""> no work for you."
make,Заполните пропуск,make,[],"See that you go and make a living for yourself.""",missing_word,"<input class=""form-control"" type=""text"" id=""t7"" onchange=""myFunction('make', 't7', 'p7')"">","See that you go and <input class=""form-control"" type=""text"" id=""t7"" onchange=""myFunction('make', 't7', 'p7')""> a living for yourself."""
putting,Заполните пропуск,putting,[],"The soldier had nothing left but his gun, so, putting it on his shoulder, he went forth into the world.",missing_word,"<input class=""form-control"" type=""text"" id=""t8"" onchange=""myFunction('putting', 't8', 'p8')"">","The soldier had nothing left but his gun, so, <input class=""form-control"" type=""text"" id=""t8"" onchange=""myFunction('putting', 't8', 'p8')""> it on his shoulder, he went forth into the world."
trees,Заполните пропуск,trees,[],"He came to a large heath, on which nothing was to be seen but a circle of trees.",missing_word,"<input class=""form-control"" type=""text"" id=""t9"" onchange=""myFunction('trees', 't9', 'p9')"">","He came to a large heath, on which nothing was to be seen but a circle of <input class=""form-control"" type=""text"" id=""t9"" onchange=""myFunction('trees', 't9', 'p9')"">."
